ticker,name,description,exchange,sector,industry,country,type,currency,close,market_cap_basic,volume,average_volume_30d_calc,average_volume_90d_calc,price_earnings_ttm,price_book_ratio,price_sales_ratio,price_earnings_growth_ttm,price_free_cash_flow_ttm,price_to_cash_f_operating_activities_ttm,enterprise_value_ebitda_ttm,enterprise_value_fy,market_cap_to_ebitda_ttm,dividend_yield_recent,dividends_yield_fy,book_value_per_share_fy,book_tangible_per_share_fy,net_income,gross_profit,total_revenue,total_assets_fy,total_current_assets_fy,total_current_liabilities_fy,long_term_debt_fy,total_debt_fy,cash_f_operating_activities_fy,shares_outstanding_fy,gross_profit_margin_fy,current_ratio,quick_ratio,debt_to_equity,return_on_assets,return_on_equity,return_on_invested_capital,net_income_yoy_growth_fy,gross_profit_yoy_growth_fy,free_cash_flow_yoy_growth_fy,basic_eps_net_income,earnings_per_share_diluted_ttm,eps_diluted_growth_percent_fy,total_revenue_yoy_growth_fy,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Recommend.All,Recommend.MA,Recommend.Other,Rec.Stoch.RSI,Rec.WR,Rec.BBPower,Rec.UO,Rec.Ichimoku,Rec.VWMA,Rec.HullMA9,RSI,RSI[1],Stoch.K,Stoch.D,Stoch.K[1],Stoch.D[1],CCI20,CCI20[1],ADX,ADX+DI,ADX-DI,AO,AO[1],Mom,Mom[1],MACD.macd,MACD.signal,Stoch.RSI.K,W.R,BBPower,UO,EMA5,SMA5,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Ichimoku.BLine,VWMA,HullMA9,Pivot.M.Classic.S3,Pivot.M.Classic.R3,ATR,BB.upper,BB.lower,Piotroski_F_Score,Profitability_Score,Leverage_Liquidity_Score,Efficiency_Score,Net_Income,Total_Assets,ROA,Operating_Cash_Flow,CFO_GT_Net_Income,Long_Term_Debt,Debt_to_Assets,Current_Ratio,Shares_Outstanding,Gross_Margin,Asset_Turnover,Revenue_Growth_YoY,Net_Income_Growth_YoY,Debt_to_Equity,ROE,ROIC,PE,PB,PS,PEG,Price_to_FCF,Price_to_CFO,EV_EBITDA,Enterprise_Value,MCap_to_EBITDA,Dividend_Yield,Dividend_Yield_FY,Book_Value_Per_Share,Tangible_Book_Value_Per_Share,Revenue,Gross_Profit,Close,Market_Cap,Tech_Rating_Value,Tech_Rating,MA_Rating_Value,MA_Rating,Oscillator_Rating_Value,Oscillator_Rating,RSI,Stoch_K,Stoch_D,CCI20,ADX,MACD,MACD_Signal,AO,Mom,ATR,BB_Upper,BB_Lower,SMA20,SMA50,SMA100,SMA200,EMA20,EMA50,EMA200,PASS
NSE:RELIANCE,RELIANCE,Reliance Industries Limited,NSE,Energy Minerals,Oil Refining/Marketing,India,stock,INR,1272.9,17515165969361.998,3371152,10914810.400000004,13583098.377777766,23.05138889643445,1.9054107062705887,1.6315728839445334,,,,9.541877615267948,,,,0.446345545843407,668.04495,358.340277579164,807750000000.0,2415400000000.0,10557800000000.0,21781400000000.0,5942490000000.0,5412540000000.0,2869490000000.0,3980000000000.0,1747700000000.0,,22.87787228399856,,,,,,,15.97605099931082,12.941462525074462,266.2781662781663,59.6898,55.2201,15.9731559272241,9.654971853513636,-4.047942107643586,-0.3210649960845661,-8.10713254403696,-19.11418948973756,-8.020810752221982,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,40.81572560062027,42.359122850704935,18.684929168800238,39.16737782329188,37.84946236559145,55.854722521494836,-168.11380766832525,-153.17521397422175,14.067149899224473,15.371498938069383,24.084295639128158,-4.5667647058785406,2.1582352941213685,-9.299999999999955,-19.0,-4.818630727434993,-1.8052109702112742,21.773806102852742,-95.39682539682526,-38.83370445454352,41.83738355340193,1288.1907212172703,1295.6600000000017,1294.9540518244685,1296.6899999999976,1299.906926775128,1303.1050000000002,1302.0008615866739,1307.226666666666,1306.3860362449402,1302.106,1324.6787414680193,1322.354000000002,1353.9466898974274,1386.3190000000004,1303.5,1300.8417142228202,1282.6414814814818,1160.8999999999999,1428.5000000000002,20.90970660853017,1333.557682968777,1272.6523170312234,4,4/4,0/3,0/2,807750000000.0,21781400000000.0,3.70843931060446,1747700000000.0,YES,2869490000000.0,13.174038399735554,1.097911516589254,,22.87787228399856,0.48471631759207395,9.654971853513636,15.97605099931082,,,,23.05138889643445,1.9054107062705887,1.6315728839445334,,,,9.541877615267948,,,,0.446345545843407,668.04495,358.340277579164,10557800000000.0,2415400000000.0,1272.9,17515165969361.998,-0.5121212121212121,Strong Sell,-0.9333333333333333,Strong Sell,-0.09090909090909091,Neutral,40.81572560062027,18.684929168800238,39.16737782329188,-168.11380766832525,14.067149899224473,-4.818630727434993,-1.8052109702112742,-4.5667647058785406,-9.299999999999955,20.90970660853017,1333.557682968777,1272.6523170312234,1303.1050000000002,1302.106,1322.354000000002,1386.3190000000004,1299.906926775128,1306.3860362449402,1353.9466898974274,NO
BSE:RELIANCE,RELIANCE,Reliance Industries Limited,BSE,Energy Minerals,Oil Refining/Marketing,India,stock,INR,1274.95,17515165969361.998,209179,719774.8000000023,1070124.6222222205,23.088513059556213,1.9084793620549039,1.634200525088446,,,,9.541877615267948,,,,0.446345545843407,668.04495,358.340277579164,807750000000.0,2415400000000.0,10557800000000.0,21781400000000.0,5942490000000.0,5412540000000.0,2869490000000.0,3980000000000.0,1747700000000.0,,22.87787228399856,,,,,,,15.97605099931082,12.941462525074462,266.2781662781663,59.6898,55.2201,15.9731559272241,9.654971853513636,-4.041696458811579,-0.31275655811407793,-8.187808303028122,-18.862761319884168,-7.759369121690059,-0.5121212121212121,-0.9333333333333333,-0.09090909090909091,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,40.469744606448465,42.17385913730642,20.491531444391093,39.93928619331131,38.614928590676364,55.74375875974031,-172.63633430138282,-155.90853811375345,12.18783083428294,16.08401517219606,23.86448835948394,-4.611029411768413,1.9407352941138925,-11.049999999999955,-18.0,-4.354687847983541,-1.5230798710725364,12.836335137333927,-92.20365950676201,-39.93246446091712,43.340803827910264,1289.2239845306642,1296.35,1295.5467171204832,1297.2699999999993,1300.0594284143447,1303.0325,1301.9506090657876,1306.6083333333331,1306.2043169948329,1301.7099999999978,1324.4938623103972,1322.2230000000002,1353.8246937477743,1386.2285000000024,1303.3249999999998,1302.5647803991226,1283.7848148148148,1166.45,1428.6499999999999,20.317262707591187,1330.574146192552,1275.490853807448,4,4/4,0/3,0/2,807750000000.0,21781400000000.0,3.70843931060446,1747700000000.0,YES,2869490000000.0,13.174038399735554,1.097911516589254,,22.87787228399856,0.48471631759207395,9.654971853513636,15.97605099931082,,,,23.088513059556213,1.9084793620549039,1.634200525088446,,,,9.541877615267948,,,,0.446345545843407,668.04495,358.340277579164,10557800000000.0,2415400000000.0,1274.95,17515165969361.998,-0.5121212121212121,Strong Sell,-0.9333333333333333,Strong Sell,-0.09090909090909091,Neutral,40.469744606448465,20.491531444391093,39.93928619331131,-172.63633430138282,12.18783083428294,-4.354687847983541,-1.5230798710725364,-4.611029411768413,-11.049999999999955,20.317262707591187,1330.574146192552,1275.490853807448,1303.0325,1301.7099999999978,1322.2230000000002,1386.2285000000024,1300.0594284143447,1306.2043169948329,1353.8246937477743,NO
BSE:BHARTIARTL,BHARTIARTL,Bharti Airtel Limited,BSE,Communications,Wireless Telecommunications,India,stock,INR,1825.25,11475113186580.0,236500,413189.49999999994,457580.62222222204,38.709588483300955,7.459739679709165,5.205104930232709,,17.96735125170445,10.233771666167367,10.623531177893952,,,,1.34506529171104,244.68012,-54.5227559067371,266952000000.0,854973000000.0,2109728000000.0,5525094000000.0,902154000000.0,1745057000000.0,1645845000000.0,1954117000000.0,1079321000000.0,,40.5252715041939,0.570058118141257,0.570058118141257,1.24512607290667,5.32214006549162,20.5404798700854,9.48810774848296,-20.446058987784635,35.34842634675937,44.567586121106295,45.957,47.1524,-20.7715891214719,21.960028950453562,-4.5845421992211,1.4084115784210183,2.0262716601453326,-13.402917803344799,-4.186351706036746,-0.35454545454545455,-0.8,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,36.6599088752733,34.96676555645989,7.033243655336112,9.716174380963727,16.465498147123704,19.08001621104817,-108.7470798165047,-119.63166613129908,28.077574859417854,11.3719332216086,30.19905890986347,-79.55632352941302,-72.82882352941306,-52.75,-86.20000000000005,-27.093935056553164,-19.179647551508623,23.506765553188817,-90.99066762383349,-83.0665206132303,41.172385188994504,1835.590966006148,1835.77,1852.3359667159,1848.895000000001,1877.17644890539,1893.120000000002,1889.2598090981342,1912.4599999999998,1895.8524125654346,1916.9109999999987,1898.5739730566045,1881.7734999999996,1900.6879315398705,1931.8047499999989,1909.1750000000002,1888.3427636071006,1823.443888888889,1501.3333333333333,2290.133333333333,29.651316202004733,1995.1241342298235,1791.1158657701803,4,4/4,0/3,0/2,266952000000.0,5525094000000.0,4.831628203972638,1079321000000.0,YES,1645845000000.0,29.788542964155905,0.5169768093535053,,40.5252715041939,0.3818447251757165,21.960028950453562,-20.446058987784635,1.24512607290667,20.5404798700854,9.48810774848296,38.709588483300955,7.459739679709165,5.205104930232709,,17.96735125170445,10.233771666167367,10.623531177893952,,,,1.34506529171104,244.68012,-54.5227559067371,2109728000000.0,854973000000.0,1825.25,11475113186580.0,-0.35454545454545455,Sell,-0.8,Strong Sell,0.09090909090909091,Neutral,36.6599088752733,7.033243655336112,9.716174380963727,-108.7470798165047,28.077574859417854,-27.093935056553164,-19.179647551508623,-79.55632352941302,-52.75,29.651316202004733,1995.1241342298235,1791.1158657701803,1893.120000000002,1916.9109999999987,1881.7734999999996,1931.8047499999989,1877.17644890539,1895.8524125654346,1900.6879315398705,NO
NSE:BHARTIARTL,BHARTIARTL,Bharti Airtel Limited,NSE,Communications,Wireless Telecommunications,India,stock,INR,1828.5,11475113186580.0,1660951,6409019.800000004,7554331.433333332,38.77851392506002,7.47302232809106,5.214373025574858,,17.999343522115648,10.251993694884005,10.623531177893952,,,,1.34506529171104,244.68012,-54.5227559067371,266952000000.0,854973000000.0,2109728000000.0,5525094000000.0,902154000000.0,1745057000000.0,1645845000000.0,1954117000000.0,1079321000000.0,,40.5252715041939,0.570058118141257,0.570058118141257,1.24512607290667,5.32214006549162,20.5404798700854,9.48810774848296,-20.446058987784635,35.34842634675937,44.567586121106295,45.957,47.1524,-20.7715891214719,21.960028950453562,-5.494107918131071,2.4943946188340806,2.6612767390938235,-13.537923207868364,-3.9653361344537816,-0.35454545454545455,-0.8,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,39.90617401783454,37.10936693421758,12.070712597028335,17.884286905011866,27.526851031113566,31.97907975066774,-103.47519924574257,-120.42210274342168,30.309736677779288,9.987871574071008,28.94662976617287,-79.16147058823299,-73.2479411764682,-49.799999999999955,-87.39999999999986,-26.921157929116816,-19.352226352913128,37.55339276201451,-88.1934566145093,-77.85955817149966,43.729266400622706,1836.44062563638,1836.2399999999975,1852.6677354853891,1848.450000000002,1877.2225822514777,1892.6099999999988,1889.3107814013679,1913.1000000000001,1895.9410687546454,1917.2499999999982,1898.6628718273532,1881.7919999999992,1900.7633630780167,1931.903999999998,1908.85,1890.5408349706297,1824.3611111111106,1446.7333333333336,2323.133333333333,32.832873849988914,1996.3277689694248,1788.8922310305727,4,4/4,0/3,0/2,266952000000.0,5525094000000.0,4.831628203972638,1079321000000.0,YES,1645845000000.0,29.788542964155905,0.5169768093535053,,40.5252715041939,0.3818447251757165,21.960028950453562,-20.446058987784635,1.24512607290667,20.5404798700854,9.48810774848296,38.77851392506002,7.47302232809106,5.214373025574858,,17.999343522115648,10.251993694884005,10.623531177893952,,,,1.34506529171104,244.68012,-54.5227559067371,2109728000000.0,854973000000.0,1828.5,11475113186580.0,-0.35454545454545455,Sell,-0.8,Strong Sell,0.09090909090909091,Neutral,39.90617401783454,12.070712597028335,17.884286905011866,-103.47519924574257,30.309736677779288,-26.921157929116816,-19.352226352913128,-79.16147058823299,-49.799999999999955,32.832873849988914,1996.3277689694248,1788.8922310305727,1892.6099999999988,1917.2499999999982,1881.7919999999992,1931.903999999998,1877.2225822514777,1895.9410687546454,1900.7633630780167,NO
NSE:HDFCBANK,HDFCBANK,HDFC Bank Limited,NSE,Finance,Major Banks,India,stock,INR,688.7,10834602567338.0,12221881,27148747.366666667,33165190.722222224,13.45642829230168,1.8187051247318256,3.3482004093515334,1.2106761727169761,,,,,,,1.7764416749992,378.67601,376.183904432849,760259700000.0,,5028327800000.0,49155671600000.0,3474964300000.0,10971126900000.0,6215898500000.0,6249711200000.0,1676097900000.0,,,,,0.9333100337634851,1.67621507569694,13.7540298886995,6.82785576408465,7.393069156581405,,17.41583892066813,49.5042,51.18,6.66901890157845,5.933389390662117,-5.722108145106086,-8.745196766927256,-16.012195121951216,-30.67941620533467,-29.28432077215319,-0.4212121212121212,-0.9333333333333333,0.09090909090909091,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,30.667194545386977,29.370998118888224,5.192541663129901,14.283035773231866,13.333333333333334,21.64309764309765,-182.25459916744904,-197.8165925114227,24.7837590631595,17.476287089983668,30.775300516913642,-23.576029411766058,-21.107352941177965,-22.299999999999955,-40.10000000000002,-13.246204201123987,-12.141213844900445,22.65992560805101,-95.3314659197012,-36.91420575039024,30.992395998804817,696.861372483834,700.2799999999984,703.721283947833,705.0049999999995,713.7331304243589,714.7875000000006,722.4980097627378,721.7733333333313,736.5555037036673,747.9250000000015,765.9227198637885,760.6590000000024,812.5811010187142,835.8829999999983,713.35,712.317964597724,692.5164814814815,617.9333333333333,828.7333333333335,11.327304000877005,739.9939054359047,689.5810945640965,4,4/4,0/3,0/2,760259700000.0,49155671600000.0,1.5466367872797002,1676097900000.0,YES,6215898500000.0,12.6453332803208,0.31673722596354253,,,0.10229394973824343,5.933389390662117,7.393069156581405,0.9333100337634851,13.7540298886995,6.82785576408465,13.45642829230168,1.8187051247318256,3.3482004093515334,1.2106761727169761,,,,,,,1.7764416749992,378.67601,376.183904432849,5028327800000.0,,688.7,10834602567338.0,-0.4212121212121212,Sell,-0.9333333333333333,Strong Sell,0.09090909090909091,Neutral,30.667194545386977,5.192541663129901,14.283035773231866,-182.25459916744904,24.7837590631595,-13.246204201123987,-12.141213844900445,-23.576029411766058,-22.299999999999955,11.327304000877005,739.9939054359047,689.5810945640965,714.7875000000006,747.9250000000015,760.6590000000024,835.8829999999983,713.7331304243589,736.5555037036673,812.5811010187142,NO
BSE:HDFCBANK,HDFCBANK,HDFC Bank Limited,BSE,Finance,Major Banks,India,stock,INR,688.0,10834602567338.0,592735,2281211.5999999996,2050974.4222222222,13.442751074638531,1.816856578794099,3.3447972725916286,1.2105039570451814,,,,,,,1.7764416749992,378.67601,376.183904432849,760259700000.0,,5028327800000.0,49155671600000.0,3474964300000.0,10971126900000.0,6215898500000.0,6249711200000.0,1676097900000.0,,,,,0.9333100337634851,1.67621507569694,13.7540298886995,6.82785576408465,7.393069156581405,,17.41583892066813,49.5042,51.18,6.66901890157845,5.933389390662117,-5.991664958666395,-8.874172185430464,-15.89242053789731,-30.648656821732775,-29.348942287944134,-0.37575757575757573,-0.9333333333333333,0.18181818181818182,0.0,1.0,0.0,0.0,0.0,-1.0,-1.0,29.959252133829096,29.344088052838742,4.702939337085636,14.58932666249734,13.57723577235767,21.815718157181507,-181.85648394535772,-195.67703353766632,24.581515410641305,17.156229133315353,30.694011516053518,-23.623382352938847,-21.243823529409383,-24.0,-39.85000000000002,-13.397297245936215,-12.254146067248145,19.27807412522215,-96.62288930581622,-36.64998958311833,30.802980333527426,696.6383813505832,700.420000000001,703.5905702884675,704.810000000001,713.7395764551027,714.8499999999998,722.5716931556566,721.9633333333328,736.6679603445831,748.0909999999957,766.0243083476371,760.7515000000004,812.6414328551574,835.9244999999983,713.575,715.9248092412745,692.5612962962963,618.5166666666665,828.3166666666667,11.484881623222822,740.4866729511094,689.2133270488902,4,4/4,0/3,0/2,760259700000.0,49155671600000.0,1.5466367872797002,1676097900000.0,YES,6215898500000.0,12.6453332803208,0.31673722596354253,,,0.10229394973824343,5.933389390662117,7.393069156581405,0.9333100337634851,13.7540298886995,6.82785576408465,13.442751074638531,1.816856578794099,3.3447972725916286,1.2105039570451814,,,,,,,1.7764416749992,378.67601,376.183904432849,5028327800000.0,,688.0,10834602567338.0,-0.37575757575757573,Sell,-0.9333333333333333,Strong Sell,0.18181818181818182,Buy,29.959252133829096,4.702939337085636,14.58932666249734,-181.85648394535772,24.581515410641305,-13.397297245936215,-12.254146067248145,-23.623382352938847,-24.0,11.484881623222822,740.4866729511094,689.2133270488902,714.8499999999998,748.0909999999957,760.7515000000004,835.9244999999983,713.7395764551027,736.6679603445831,812.6414328551574,NO
BSE:ICICIBANK,ICICIBANK,ICICI Bank Limited,BSE,Finance,Regional Banks,India,stock,INR,1389.4,10044579825439.0,64471,665458.6333333333,718903.0333333338,17.96018614270941,2.7401115430896548,4.493769497316582,2.4546857746306023,,,,,,,0.995685363425158,507.05965,492.325167101713,542077028000.00006,,3130903323000.0,29215962020000.0,2886402957000.0,7798730553000.0,2075090468000.0,2363476603000.0,1031411179000.0,,,,,0.594743890036865,1.9781250638936703,15.796816290169,9.74115748257219,6.2288015103040495,,29.955745450638805,75.8911,77.36,5.01178367476497,6.854370387727029,-2.9613074451738974,4.6589582313283975,10.726809053235588,3.439547349612868,-1.9027782680834413,-0.13333333333333333,-0.26666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,39.237523824197986,39.42770453272186,7.384687709795471,23.455183303564322,13.399956300441778,17.513878939568297,-167.64872559930657,-172.40066655069896,14.932581457532004,18.097183605110455,23.839773297974297,-16.381911764705592,-7.542499999999791,-54.59999999999991,-40.600000000000136,-4.517015146251197,0.588261110909337,-4.736951571734001e-15,-91.31054131054113,-52.70876831429837,30.646488175509784,1402.4810181973955,1406.0000000000018,1411.9752543750867,1419.5000000000023,1418.1002927422965,1419.2974999999992,1417.841254409709,1424.9116666666648,1408.525137488221,1424.7009999999989,1385.2398055401939,1361.2120000000002,1368.4283837679845,1356.6427499999993,1430.125,1416.6861198394224,1389.3144444444445,1267.6499999999999,1611.0500000000004,20.585472509333872,1450.411877303911,1388.1831226960874,4,4/4,0/3,0/2,542077028000.00006,29215962020000.0,1.855413926226072,1031411179000.0,YES,2075090468000.0,7.102591612692684,0.370111896722687,,,0.10716413585343236,6.854370387727029,6.2288015103040495,0.594743890036865,15.796816290169,9.74115748257219,17.96018614270941,2.7401115430896548,4.493769497316582,2.4546857746306023,,,,,,,0.995685363425158,507.05965,492.325167101713,3130903323000.0,,1389.4,10044579825439.0,-0.13333333333333333,Sell,-0.26666666666666666,Sell,0.0,Neutral,39.237523824197986,7.384687709795471,23.455183303564322,-167.64872559930657,14.932581457532004,-4.517015146251197,0.588261110909337,-16.381911764705592,-54.59999999999991,20.585472509333872,1450.411877303911,1388.1831226960874,1419.2974999999992,1424.7009999999989,1361.2120000000002,1356.6427499999993,1418.1002927422965,1408.525137488221,1368.4283837679845,NO
NSE:ICICIBANK,ICICIBANK,ICICI Bank Limited,NSE,Finance,Regional Banks,India,stock,INR,1388.7,10044579825439.0,1643959,9350108.466666669,13494777.922222225,17.951137538779733,2.7387310348989513,4.491505470651747,2.4545103772905073,,,,,,,0.995685363425158,507.05965,492.325167101713,542077028000.00006,,3130903323000.0,29215962020000.0,2886402957000.0,7798730553000.0,2075090468000.0,2363476603000.0,1031411179000.0,,,,,0.594743890036865,1.9781250638936703,15.796816290169,9.74115748257219,6.2288015103040495,,29.955745450638805,75.8911,77.36,5.01178367476497,6.854370387727029,-3.03051462886669,4.413533834586469,10.9273903666427,3.3335813676612807,-1.5106382978723372,-0.13333333333333333,-0.26666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,39.55051660271949,39.65321444677234,5.736307064584177,22.125514401679087,11.709838646127068,17.981388153730904,-165.38553608000998,-167.43269221386743,15.47735389054499,17.4369253832327,24.896570240629735,-15.994117647062012,-6.655588235297728,-54.299999999999955,-40.90000000000009,-4.680187364807352,0.5510352280789257,7.105427357601002e-15,-93.41917024320439,-52.7462458851337,30.803764602394423,1402.1982581241161,1405.5799999999988,1412.0174144231974,1419.9200000000008,1418.3155334859205,1419.4050000000002,1418.1203206968182,1425.5533333333306,1408.8215533176403,1425.1560000000004,1385.4636023511512,1361.3330000000017,1368.5744381696925,1356.7229999999988,1422.05,1421.0374848557994,1388.1562962962962,1298.1666666666667,1572.1666666666667,20.680037859732728,1451.6365047740605,1387.1734952259399,4,4/4,0/3,0/2,542077028000.00006,29215962020000.0,1.855413926226072,1031411179000.0,YES,2075090468000.0,7.102591612692684,0.370111896722687,,,0.10716413585343236,6.854370387727029,6.2288015103040495,0.594743890036865,15.796816290169,9.74115748257219,17.951137538779733,2.7387310348989513,4.491505470651747,2.4545103772905073,,,,,,,0.995685363425158,507.05965,492.325167101713,3130903323000.0,,1388.7,10044579825439.0,-0.13333333333333333,Sell,-0.26666666666666666,Sell,0.0,Neutral,39.55051660271949,5.736307064584177,22.125514401679087,-165.38553608000998,15.47735389054499,-4.680187364807352,0.5510352280789257,-15.994117647062012,-54.299999999999955,20.680037859732728,1451.6365047740605,1387.1734952259399,1419.4050000000002,1425.1560000000004,1361.3330000000017,1356.7229999999988,1418.3155334859205,1408.8215533176403,1368.5744381696925,NO
BSE:SBIN,SBIN,State Bank of India,BSE,Finance,Regional Banks,India,stock,INR,1009.15,9304463109375.0,124170,689073.9,853200.3,10.805066598141247,1.562589397138409,2.296873235600713,2.190189286568613,,,,,,,1.77076954480506,645.81905,642.896787426288,832987824000.0,,7164709988000.0,83215685742000.0,4955476488000.0,23626203492000.0,7928781458000.0,7986149210000.0,1633922754000.0,,,,,1.31899282266467,1.08799744440529,15.092639252993202,6.764459533435691,7.397300658448809,,-3.905191873239363,91.1608,93.396,4.89441611281918,8.856364016424534,-5.686915887850469,-0.9617743755827144,-6.143043154761911,2.743840358379142,24.402120315581843,-0.26363636363636367,-0.8,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,39.15275625817045,34.969144371328625,16.020492140485253,11.345894662314498,11.245239589872392,7.500279854447449,-118.9906035644829,-158.75507001202337,15.088007617704177,14.635729979546428,25.00836956006377,-33.398088235294495,-29.513088235294504,-35.750000000000114,-52.19999999999993,-10.586027233436539,-5.578538626637491,8.907210879954306,-76.26514611546692,-32.98892311193197,35.22362634204585,1010.3115913081701,1008.3400000000001,1018.9637046451531,1021.8899999999998,1029.642244296892,1036.3524999999997,1033.5370635361999,1045.2083333333333,1035.0085486736964,1038.7160000000001,1033.601949533102,1027.9924999999996,1011.679351815338,1040.0792499999998,1058.45,1035.9848650360545,999.5972222222222,884.8833333333334,1258.6833333333336,17.629372693841102,1076.8164280718543,995.8885719281451,4,4/4,0/3,0/2,832987824000.0,83215685742000.0,1.0009985696477661,1633922754000.0,YES,7928781458000.0,9.527989089199135,0.20974493382645923,,,0.08609807062352766,8.856364016424534,7.397300658448809,1.31899282266467,15.092639252993202,6.764459533435691,10.805066598141247,1.562589397138409,2.296873235600713,2.190189286568613,,,,,,,1.77076954480506,645.81905,642.896787426288,7164709988000.0,,1009.15,9304463109375.0,-0.26363636363636367,Sell,-0.8,Strong Sell,0.2727272727272727,Buy,39.15275625817045,16.020492140485253,11.345894662314498,-118.9906035644829,15.088007617704177,-10.586027233436539,-5.578538626637491,-33.398088235294495,-35.750000000000114,17.629372693841102,1076.8164280718543,995.8885719281451,1036.3524999999997,1038.7160000000001,1027.9924999999996,1040.0792499999998,1029.642244296892,1035.0085486736964,1011.679351815338,NO
NSE:SBIN,SBIN,State Bank of India,NSE,Finance,Regional Banks,India,stock,INR,1005.9,9304463109375.0,2481101,9189717.900000017,12537725.566666627,10.770268533984325,1.5575570277773627,2.289476081544624,2.190189286568613,,,,,,,1.77076954480506,645.81905,642.896787426288,832987824000.0,,7164709988000.0,83215685742000.0,4955476488000.0,23626203492000.0,7928781458000.0,7986149210000.0,1633922754000.0,,,,,1.31899282266467,1.08799744440529,15.092639252993202,6.764459533435691,7.397300658448809,,-3.905191873239363,91.1608,93.396,4.89441611281918,8.856364016424534,-6.078431372549021,-1.188605108055012,-6.6450116009280755,2.308787632221311,23.87931034482758,-0.2181818181818182,-0.8,0.36363636363636365,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,37.843699813639915,34.932998723772016,14.298268190492095,10.627747132779781,11.120906633727122,8.580145084418577,-124.6289217550287,-162.0487844806451,16.321454030342256,14.813501036676302,26.689369592228587,-33.345294117646745,-29.05176470588208,-37.000000000000114,-51.5,-11.054477287103396,-5.696727264062508,6.86431790026068,-80.68669527896995,-32.87412761061057,34.94264365317296,1009.2308870420096,1007.28,1018.6833216107274,1022.2700000000002,1029.8697282050496,1036.615,1033.930352753027,1046.22,1035.463477194818,1039.3039999999999,1033.9730576588547,1028.32,1011.9233283368596,1040.2442500000002,1058.45,1035.2438284669524,997.6122222222224,884.6000000000001,1258.9999999999998,17.346509591122665,1077.0991339292282,996.1308660707718,4,4/4,0/3,0/2,832987824000.0,83215685742000.0,1.0009985696477661,1633922754000.0,YES,7928781458000.0,9.527989089199135,0.20974493382645923,,,0.08609807062352766,8.856364016424534,7.397300658448809,1.31899282266467,15.092639252993202,6.764459533435691,10.770268533984325,1.5575570277773627,2.289476081544624,2.190189286568613,,,,,,,1.77076954480506,645.81905,642.896787426288,7164709988000.0,,1005.9,9304463109375.0,-0.2181818181818182,Sell,-0.8,Strong Sell,0.36363636363636365,Buy,37.843699813639915,14.298268190492095,10.627747132779781,-124.6289217550287,16.321454030342256,-11.054477287103396,-5.696727264062508,-33.345294117646745,-37.000000000000114,17.346509591122665,1077.0991339292282,996.1308660707718,1036.615,1039.3039999999999,1028.32,1040.2442500000002,1029.8697282050496,1035.463477194818,1011.9233283368596,NO
